iter,t,j,argmax_state,max_prob
,137,3,0,0.9973192
,138,0,2,1.0
,138,1,1,0.9500134
,138,2,0,0.98593867
,138,3,0,0.9973192
,139,0,0,0.78259706
,139,1,2,1.0
,139,2,0,0.914486
,139,3,0,0.9973192
,140,0,0,0.96521485
,140,1,1,0.9265387
,140,2,2,1.0
,140,3,0,0.9973192
,141,0,0,0.9884457
,141,1,3,1.0
,141,2,1,0.9265387
,141,3,0,0.9973192
,142,0,0,0.9792279
,142,1,1,0.9617892
,142,2,3,1.0
,142,3,0,0.9973192
,143,0,0,0.887194
,143,1,3,1.0
,143,2,1,0.74247825
,143,3,0,0.99731874
,144,0,3,1.0
,144,1,0,0.53691614
,144,2,1,0.6492237
,144,3,0,0.99731535
,145,0,1,0.9500134
,145,1,0,0.78077745
,145,2,2,1.0
,145,3,0,0.9972906
,146,0,2,1.0
,146,1,0,0.75571513
,146,2,1,0.59095395
,146,3,0,0.99710894
,147,0,1,0.6859052
,147,1,2,1.0
,147,2,1,0.53196156
,147,3,0,0.99577785
,148,0,0,0.85983795
,148,1,1,0.9049728
,148,2,2,1.0
,148,3,0,0.98602426
,149,0,0,0.9252189
,149,1,2,1.0
,149,2,0,0.7849427
,149,3,0,0.9145523
,150,0,0,0.86749595
,150,1,0,0.7849381
,150,2,0,0.9683368
,150,3,2,1.0
,151,0,2,1.0
,151,1,0,0.9683307
,151,2,0,0.9933638
,151,3,1,0.9265387
,152,0,1,0.9049728
,152,1,0,0.99335444
,152,2,0,0.99677867
,152,3,3,1.0
,153,0,2,1.0
,153,1,0,0.99674505
,153,2,0,0.9972403
,153,3,1,0.9500134
,154,0,1,0.98598814
,154,1,0,0.9970294
,154,2,0,0.9972717
,154,3,2,1.0
,155,0,2,1.0
,155,1,0,0.99576205
,155,2,0,0.9970446
,155,3,1,0.9049728
,156,0,1,0.98598814
,156,1,0,0.9860172
,156,2,0,0.9953182
,156,3,2,1.0
,157,0,2,1.0
,157,1,0,0.9145468
,157,2,0,0.9826579
,157,3,0,0.7846955
,158,0,1,0.590954
,158,1,2,1.0
,158,2,0,0.8898855
,158,3,0,0.96800774
,159,0,1,0.5319616
,159,1,0,0.7831344
,159,2,3,1.0
,159,3,0,0.9928456
,160,0,2,1.0
,160,1,0,0.9659301
,160,2,1,0.9617892
,160,3,0,0.9949293
,161,0,1,0.9049728
,161,1,0,0.98957235
,161,2,3,1.0
,161,3,0,0.98564476
,162,0,2,1.0
,162,1,0,0.98324865
,162,2,0,0.53691626
,162,3,0,0.9142585
,163,0,0,0.7718797
,163,1,0,0.9124042
,163,2,0,0.78077745
,163,3,2,1.0
,164,0,0,0.95095056
,164,1,2,1.0
,164,2,0,0.75571513
,164,3,1,0.590954
,165,0,0,0.9659733
,165,1,1,0.6859052
,165,2,2,1.0
,165,3,1,0.53196156
,166,0,0,0.89903504
,166,1,0,0.85983783
,166,2,1,0.59095675
,166,3,2,1.0
,167,0,2,1.0
,167,1,0,0.9252189
,167,2,1,0.5319652
,167,3,1,0.67171973
,168,0,1,0.590954
,168,1,0,0.86749595
,168,2,2,0.999948
,168,3,0,0.8997082
,169,0,1,0.53196156
,169,1,2,1.0
,169,2,1,0.66938823
,169,3,0,0.97639227
,170,0,2,1.0
,170,1,1,0.9049728
,170,2,0,0.9062173
,170,3,0,0.9773532
,171,0,1,0.91434735
,171,1,2,1.0
,171,2,0,0.9847441
,171,3,0,0.9078418
,172,0,1,0.7822302
,172,1,0,0.784909
,172,2,0,0.99528235
,172,3,2,1.0
,173,0,2,1.0
,173,1,0,0.96829194
,173,2,0,0.9954143
,173,3,1,0.9049728
,174,0,1,0.98598814
,174,1,0,0.99329334
,174,2,0,0.9858616
,174,3,2,1.0
,175,0,2,1.0
,175,1,0,0.9965269
,175,2,0,0.91442645
,175,3,1,0.91434735
,176,0,1,0.590954
,176,1,0,0.995662
,176,2,2,1.0
,176,3,1,0.7822302
,177,0,1,0.5319616
,177,1,0,0.9859725
,177,2,0,0.69823635
,177,3,2,1.0
,178,0,2,1.0
,178,1,0,0.91451216
,178,2,0,0.8529352
,178,3,0,0.6982363
,179,0,0,0.7849421
,179,1,2,1.0
,179,2,0,0.8115569
,179,3,0,0.8529352
,180,0,0,0.968336
,180,1,1,0.590954
,180,2,2,1.0
,180,3,0,0.8115568
,181,0,0,0.99336284
,181,1,1,0.53196156
,181,2,1,0.91434735
,181,3,2,1.0
,182,0,0,0.99677473
,182,1,2,1.0
,182,2,1,0.7822302
,182,3,0,0.6982363
,183,0,0,0.99721605
,183,1,1,0.9049728
,183,2,2,1.0
,183,3,0,0.8529352
,184,0,0,0.997098
,184,1,2,1.0
,184,2,1,0.59095395
,184,3,0,0.8115568
,185,0,0,0.9957757
,185,1,1,0.5909542
,185,2,1,0.5319617
,185,3,2,1.0
,186,0,0,0.9860233
,186,1,1,0.5319618
,186,2,2,1.0
,186,3,0,0.6982363
,187,0,0,0.9145515
,187,1,2,0.99999714
,187,2,0,0.7849427
,187,3,0,0.8529352
,188,0,2,1.0
,188,1,1,0.5909532
,188,2,0,0.9683368
,188,3,0,0.8115568
,189,0,0,0.6982363
,189,1,1,0.53196096
,189,2,0,0.99336404
,189,3,2,1.0
,190,0,0,0.8529352
,190,1,2,0.9999988
,190,2,0,0.9967789
,190,3,1,0.9049728
,191,0,0,0.8115568
,191,1,1,0.59095407
,191,2,0,0.9972415
,191,3,2,1.0
,192,0,2,1.0
,192,1,1,0.53196186
,192,2,0,0.9972805
,192,3,0,0.6759393
,193,0,1,0.9049728
,193,1,2,0.99999166
,193,2,0,0.9971074
,193,3,0,0.8232592
,194,0,2,1.0
,194,1,1,0.6427047
,194,2,0,0.9957775
,194,3,0,0.7648043
,195,0,0,0.7849381
,195,1,1,0.6008404
,195,2,0,0.98602426
,195,3,3,1.0
,196,0,0,0.9683307
,196,1,3,1.0
,196,2,0,0.91455203
,196,3,1,0.7424784
,197,0,0,0.99335444
,197,1,1,0.7424784
,197,2,2,1.0
,197,3,1,0.6492237
,198,0,0,0.99674505
,198,1,1,0.6492237
,198,2,1,0.59095395
,198,3,2,1.0
,199,0,0,0.9970294
,199,1,2,1.0
,199,2,1,0.5319617
,199,3,0,0.6982363
,200,0,0,0.99576205
,200,1,1,0.9049728
,200,2,2,1.0
,200,3,0,0.8529352
,201,0,0,0.9860172
,201,1,2,1.0
,201,2,0,0.7849427
,201,3,0,0.8115568
,202,0,0,0.9145468
,202,1,1,0.91434735
,202,2,0,0.9683368
,202,3,2,1.0
,203,0,2,1.0
,203,1,1,0.7822302
,203,2,0,0.99336404
,203,3,0,0.7849427
,204,0,1,0.9049728
,204,1,2,1.0
,204,2,0,0.9967794
,204,3,0,0.9683368
,205,0,2,1.0
,205,1,1,0.9049728
,205,2,0,0.99724555
,205,3,0,0.99336416
,206,0,1,0.9049728
,206,1,2,1.0
,206,2,0,0.99730927
,206,3,0,0.9967795
,207,0,2,1.0
,207,1,1,0.9051478
,207,2,0,0.9973178
,207,3,0,0.99724555
,208,0,1,0.9049728
,208,1,2,0.99188477
,208,2,0,0.9973185
,208,3,0,0.99730915
,209,0,2,1.0
,209,1,1,0.98569626
,209,2,0,0.9973152
,209,3,0,0.9973173
,210,0,1,0.9049728
,210,1,2,1.0
,210,2,0,0.9972905
,210,3,0,0.9973152
,211,0,2,0.99999964
,211,1,1,0.9049728
,211,2,0,0.9971088
,211,3,0,0.9972905
,212,0,1,0.9049728
,212,1,2,1.0
,212,2,0,0.99577796
,212,3,0,0.99710894
,213,0,2,1.0
,213,1,1,0.9049728
,213,2,0,0.98602426
,213,3,0,0.99577785
,214,0,0,0.7849427
,214,1,2,1.0
,214,2,0,0.9145516
,214,3,0,0.98602426
,215,0,0,0.9683368
,215,1,1,0.590954
,215,2,2,0.9999714
,215,3,0,0.9145523
,216,0,0,0.99336416
,216,1,1,0.5319616
,216,2,1,0.6858962
,216,3,2,1.0
,217,0,0,0.9967795
,217,1,2,1.0
,217,2,0,0.8598397
,217,3,1,0.98598814
,218,0,0,0.99724567
,218,1,1,0.9049728
,218,2,0,0.9252198
,218,3,2,1.0
,219,0,0,0.99730927
,219,1,2,1.0
,219,2,0,0.86749655
,219,3,0,0.6982363
,220,0,0,0.9973178
,220,1,1,0.9049728
,220,2,2,1.0
,220,3,0,0.8529352
,221,0,0,0.997319
,221,1,2,1.0
,221,2,1,0.7615302
,221,3,0,0.8115568
,222,0,0,0.9973185
,222,1,1,0.9049728
,222,2,0,0.6472837
,222,3,2,1.0
,223,0,0,0.99731416
,223,1,2,1.0
,223,2,0,0.6524066
,223,3,1,0.914383
,224,0,0,0.997282
,224,1,0,0.784909
,224,2,2,0.9999995
,224,3,1,0.7823301
,225,0,0,0.9970462
,225,1,0,0.96829194
,225,2,1,0.9049728
,225,3,2,0.9977332
,226,0,0,0.9953184
,226,1,0,0.99329334
,226,2,2,1.0
,226,3,1,0.9859066
,227,0,0,0.98265815
,227,1,0,0.9965269
,227,2,1,0.9859881
,227,3,2,1.0
,228,0,0,0.88988566
,228,1,0,0.995662
,228,2,2,1.0
,228,3,1,0.590954
,229,0,3,1.0
,229,1,0,0.9859725
,229,2,0,0.7849427
,229,3,1,0.5319616
,230,0,0,0.6464629
,230,1,0,0.91451216
,230,2,0,0.9683368
,230,3,2,1.0
,231,0,0,0.94937485
,231,1,2,1.0
,231,2,0,0.99336404
,231,3,1,0.98598814
,232,0,0,0.99068797
,232,1,1,0.9049728
,232,2,0,0.9967796
,232,3,2,1.0
,233,0,0,0.9961477
,233,1,2,1.0
,233,2,0,0.99724555
,233,3,1,0.9049728
,234,0,0,0.9955865
,234,1,1,0.9049728
,234,2,0,0.99730927
,234,3,2,1.0
,235,0,0,0.98593867
,235,1,2,1.0
,235,2,0,0.9973178
,235,3,1,0.9049728
,236,0,0,0.914486
,236,1,1,0.590954
,236,2,0,0.997319
,236,3,2,1.0
,237,0,2,1.0
,237,1,1,0.53196156
,237,2,0,0.9973192
,237,3,1,0.590954
,238,0,0,0.7831344
,238,1,2,1.0
,238,2,0,0.9973192
,238,3,1,0.53196156
,239,0,0,0.9659301
,239,1,1,0.9049728
,239,2,0,0.9973192
,239,3,2,1.0
,240,0,0,0.98957235
,240,1,2,1.0
,240,2,0,0.9973192
,240,3,1,0.9049728
,241,0,0,0.98324865
,241,1,1,0.9049728
,241,2,0,0.99731874
,241,3,2,1.0
,242,0,0,0.9124042
,242,1,2,1.0
,242,2,0,0.99731547
,242,3,0,0.6982363
,243,0,2,1.0
,243,1,1,0.9049728
,243,2,0,0.9972905
,243,3,0,0.8529352
,244,0,1,0.590954
,244,1,2,1.0
,244,2,0,0.9971088
,244,3,0,0.8115568
,245,0,1,0.5319616
,245,1,1,0.590954
,245,2,0,0.99577796
,245,3,2,1.0
,246,0,2,1.0
,246,1,1,0.53196156
,246,2,0,0.98602426
,246,3,0,0.7849427
,247,0,1,0.59131205
,247,1,2,1.0
,247,2,0,0.9145523
,247,3,0,0.9683368
,248,0,1,0.5324381
,248,1,1,0.590954
,248,2,2,1.0
,248,3,0,0.99336416
,249,0,2,0.9930813
,249,1,1,0.5319616
,249,2,0,0.7825971
,249,3,0,0.9967795
,250,0,1,0.98573923
,250,1,2,1.0
,250,2,0,0.96521497
,250,3,0,0.99724567
,251,0,2,1.0
,251,1,1,0.9049728
,251,2,0,0.9884456
,251,3,0,0.99730927
,252,0,1,0.9049728
,252,1,2,1.0
,252,2,0,0.9792279
,252,3,0,0.9973179
,253,0,2,1.0
,253,1,0,0.784909
,253,2,0,0.887194
,253,3,0,0.9973191
,254,0,1,0.9049728
,254,1,0,0.96829194
,254,2,3,1.0
,254,3,0,0.9973192
,255,0,2,1.0
,255,1,0,0.99329334
,255,2,1,0.72377056
,255,3,0,0.9973191
,256,0,1,0.9049728
,256,1,0,0.9965269
,256,2,2,0.9298551
,256,3,0,0.99731874
,257,0,2,1.0
,257,1,0,0.995662
,257,2,1,0.89200157
,257,3,0,0.99731535
,258,0,1,0.9049728
,258,1,0,0.9859725
,258,2,2,1.0
,258,3,0,0.9972906
,259,0,2,1.0
,259,1,0,0.91451216
,259,2,0,0.784938
,259,3,0,0.99710894
,260,0,1,0.9049728
,260,1,2,1.0
,260,2,0,0.9683308
,260,3,0,0.99577785
,261,0,2,1.0
,261,1,1,0.9049728
,261,2,0,0.99335456
,261,3,0,0.98602426
,262,0,1,0.590954
,262,1,2,1.0
,262,2,0,0.99674493
,262,3,0,0.9145523
,263,0,1,0.53196156
,263,1,0,0.7846955
,263,2,0,0.9970294
,263,3,2,1.0
,264,0,2,1.0
,264,1,0,0.96800774
,264,2,0,0.99576205
,264,3,1,0.9049728
,265,0,1,0.98598814
,265,1,0,0.9928456
,265,2,0,0.9860172
,265,3,2,1.0
,266,0,2,1.0
,266,1,0,0.9949293
,266,2,0,0.9145468
,266,3,0,0.7848989
,267,0,1,0.9049728
,267,1,0,0.98564476
,267,2,2,1.0
,267,3,0,0.9682785
,268,0,2,1.0
,268,1,0,0.9142585
,268,2,0,0.7849421
,268,3,0,0.99327224
,269,0,1,0.9265387
,269,1,2,1.0
,269,2,0,0.9683361
,269,3,0,0.99645174
,270,0,3,1.0
,270,1,1,0.9049728
,270,2,0,0.99336284
,270,3,0,0.9951902
,271,0,1,0.9500134
,271,1,2,0.9999999
,271,2,0,0.99677485
,271,3,0,0.9825941
,272,0,2,1.0
,272,1,0,0.6982363
,272,2,0,0.99721605
,272,3,0,0.8898354
,273,0,1,0.9049728
,273,1,0,0.8529352
,273,2,0,0.99709815
,273,3,3,1.0
,274,0,2,1.0
,274,1,0,0.8115568
,274,2,0,0.9957756
,274,3,0,0.64644927
,275,0,1,0.9049728
,275,1,2,1.0
,275,2,0,0.98602283
,275,3,0,0.94935393
,276,0,2,1.0
,276,1,0,0.784909
,276,2,0,0.91454834
,276,3,0,0.9906588
,277,0,1,0.9049728
,277,1,0,0.96829194
,277,2,2,0.99987316
,277,3,0,0.9960642
,278,0,2,1.0
,278,1,0,0.99329334
,278,2,1,0.9859881
,278,3,0,0.99510646
