t,j,argmax_state,max_prob
130,2,0,0.65780574
130,3,0,0.6578057
131,0,0,0.75826746
131,1,2,1.0
131,2,0,0.65780574
131,3,0,0.6578035
132,0,2,1.0
132,1,0,0.75826746
132,2,0,0.65780574
132,3,0,0.6577562
133,0,0,0.75826746
133,1,2,1.0
133,2,0,0.65780574
133,3,0,0.6567214
134,0,2,1.0
134,1,0,0.7767481
134,2,0,0.65780574
134,3,0,0.634066
135,0,0,0.75826746
135,1,0,0.6621645
135,2,0,0.65780574
135,3,2,1.0
136,0,2,1.0
136,1,0,0.63432187
136,2,0,0.65780574
136,3,0,0.77678627
137,0,1,0.7019908
137,1,2,1.0
137,2,0,0.65780574
137,3,0,0.66324055
138,0,2,1.0
138,1,0,0.7759505
138,2,0,0.65780574
138,3,0,0.658054
139,0,2,1.0
139,1,0,0.63967127
139,2,0,0.65780574
139,3,0,0.6578171
140,0,0,0.75826746
140,1,2,1.0
140,2,0,0.65780574
140,3,0,0.6578063
141,0,2,1.0
141,1,0,0.75826746
141,2,0,0.65780574
141,3,0,0.6578058
142,0,0,0.75826746
142,1,2,1.0
142,2,0,0.65780574
142,3,0,0.65780574
143,0,2,1.0
143,1,0,0.75826746
143,2,0,0.6578056
143,3,0,0.6578056
144,0,0,0.75826746
144,1,2,1.0
144,2,0,0.657803
144,3,0,0.657803
145,0,2,1.0
145,1,1,0.7019908
145,2,0,0.65774506
145,3,0,0.65774506
146,0,0,0.75826746
146,1,2,1.0
146,2,0,0.6564763
146,3,0,0.6564763
147,0,2,1.0
147,1,0,0.75401694
147,2,0,0.6287009
147,3,0,0.6287009
0,0,0,1.0
0,1,0,1.0
0,2,0,1.0
0,3,2,0.608122
1,0,0,0.67343646
1,1,2,1.0
1,2,0,0.67343646
1,3,0,0.54697764
2,0,0,0.65851974
2,1,0,0.75826746
2,2,0,0.65851974
2,3,2,1.0
3,0,0,0.6578384
3,1,2,1.0
3,2,0,0.6578384
3,3,0,0.75826746
4,0,0,0.65780723
4,1,0,0.75826746
4,2,0,0.65780723
4,3,2,1.0
5,0,0,0.65780574
5,1,2,1.0
5,2,0,0.65780586
5,3,0,0.75826746
