iter,t,j,evidence_class,evidence_is_onehot
,115,3,0,True
,116,0,0,True
,116,1,0,True
,116,2,0,True
,116,3,0,True
,117,0,0,True
,117,1,0,True
,117,2,0,True
,117,3,0,True
,118,0,2,True
,118,1,0,True
,118,2,0,True
,118,3,0,True
,119,0,0,True
,119,1,0,True
,119,2,0,True
,119,3,0,True
,120,0,0,True
,120,1,0,True
,120,2,0,True
,120,3,0,True
,121,0,0,True
,121,1,0,True
,121,2,0,True
,121,3,0,True
,122,0,0,True
,122,1,0,True
,122,2,0,True
,122,3,0,True
,123,0,0,True
,123,1,0,True
,123,2,0,True
,123,3,0,True
,124,0,0,True
,124,1,0,True
,124,2,0,True
,124,3,0,True
,125,0,0,True
,125,1,0,True
,125,2,0,True
,125,3,0,True
,126,0,0,True
,126,1,0,True
,126,2,0,True
,126,3,0,True
,127,0,0,True
,127,1,0,True
,127,2,0,True
,127,3,0,True
,128,0,0,True
,128,1,0,True
,128,2,0,True
,128,3,0,True
,129,0,0,True
,129,1,0,True
,129,2,0,True
,129,3,0,True
,130,0,0,True
,130,1,0,True
,130,2,2,True
,130,3,0,True
,131,0,0,True
,131,1,0,True
,131,2,0,True
,131,3,0,True
,132,0,0,True
,132,1,0,True
,132,2,2,True
,132,3,0,True
,133,0,0,True
,133,1,2,True
,133,2,0,True
,133,3,0,True
,134,0,2,True
,134,1,0,True
,134,2,0,True
,134,3,0,True
,135,0,0,True
,135,1,2,True
,135,2,0,True
,135,3,0,True
,136,0,0,True
,136,1,0,True
,136,2,0,True
,136,3,0,True
,137,0,0,True
,137,1,0,True
,137,2,0,True
,137,3,0,True
,138,0,0,True
,138,1,0,True
,138,2,0,True
,138,3,0,True
,139,0,0,True
,139,1,0,True
,139,2,0,True
,139,3,0,True
,140,0,0,True
,140,1,0,True
,140,2,0,True
,140,3,0,True
,141,0,0,True
,141,1,0,True
,141,2,0,True
,141,3,0,True
,142,0,0,True
,142,1,0,True
,142,2,2,True
,142,3,0,True
,143,0,0,True
,143,1,2,True
,143,2,0,True
,143,3,0,True
,144,0,2,True
,144,1,0,True
,144,2,0,True
,144,3,0,True
,145,0,0,True
,145,1,0,True
,145,2,0,True
