iter,t,argmax_state,max_prob
,2495,0,0.9617211
,2496,0,0.9888558
,2497,0,0.98937434
,2498,0,0.98938745
,2499,0,0.989489
,2500,0,0.99042124
,2501,0,0.9883396
,2502,0,0.9903367
,2503,0,0.98711306
,2504,0,0.9572973
,2505,0,0.9634693
,2506,0,0.9846849
,2507,0,0.9708635
,2508,0,0.98933536
,2509,0,0.9871974
,2510,0,0.95628595
,2511,0,0.95088863
,2512,1,0.8904518
,2513,0,0.9607535
,2514,0,0.9893757
,2515,0,0.98468965
,2516,0,0.96013576
,2517,1,0.9072238
,2518,1,0.9046133
,2519,0,0.961696
,2520,0,0.9558589
,2521,1,0.90362966
,2522,1,0.9226134
,2523,0,0.9235069
,2524,1,0.91899866
,2525,1,0.93982315
,2526,0,0.9598496
,2527,0,0.9877639
,2528,0,0.9893399
,2529,0,0.988678
,2530,0,0.9702656
,2531,0,0.5521128
,2532,1,0.92270994
,2533,1,0.91349936
,2534,0,0.9547819
,2535,0,0.9887401
,2536,0,0.98937386
,2537,0,0.98937875
,2538,0,0.98937815
,2539,0,0.9893781
,2540,0,0.9893781
,2541,0,0.98937815
,2542,0,0.98937875
,2543,0,0.9893871
,2544,0,0.9894896
,2545,0,0.99042684
,2546,0,0.98834395
,2547,0,0.99037045
,2548,0,0.98833877
,2549,0,0.9903617
,2550,0,0.9882158
,2551,0,0.98931503
,2552,0,0.989374
,2553,0,0.9893778
,2554,0,0.9893781
,2555,0,0.9893781
,2556,0,0.9893779
,2557,0,0.9893694
,2558,0,0.9891745
,2559,0,0.9893955
,2560,0,0.98936456
,2561,0,0.9893778
,2562,0,0.9893781
,2563,0,0.9893781
,2564,0,0.9893781
,2565,0,0.9893781
,2566,0,0.98937815
,2567,0,0.98937875
,2568,0,0.98938704
,2569,0,0.98948956
,2570,0,0.9904474
,2571,0,0.9893579
,2572,0,0.9893534
,2573,0,0.98825073
,2574,0,0.98931605
,2575,0,0.98937404
,2576,0,0.98937786
,2577,0,0.9893785
,2578,0,0.9893699
,2579,0,0.98862714
,2580,0,0.96452206
,2581,0,0.9892175
,2582,0,0.98833424
,2583,0,0.9894635
,2584,0,0.99041766
,2585,0,0.98820424
,2586,0,0.98844874
,2587,0,0.962027
,2588,1,0.7248846
,2589,0,0.94118893
,2590,1,0.72707933
,2591,0,0.94275385
,2592,1,0.69136983
,2593,0,0.95858246
,2594,0,0.96015084
,2595,1,0.7265047
,2596,0,0.9383449
,2597,0,0.9849854
,2598,0,0.9600172
,2599,1,0.90597165
,2600,1,0.93236804
,2601,0,0.93678063
,2602,1,0.71870077
,2603,0,0.964516
,2604,0,0.987566
,2605,0,0.9893048
,2606,0,0.9893741
,2607,0,0.98937786
,2608,0,0.98937815
,2609,0,0.9893638
,2610,0,0.9885167
,2611,0,0.96204144
,2612,1,0.72488403
,2613,0,0.9411329
,2614,1,0.72850716
,2615,0,0.93224204
,2616,1,0.91074216
,2617,1,0.9120701
,2618,0,0.95481455
,2619,0,0.9887405
,2620,0,0.98937386
,2621,0,0.989379
,2622,0,0.9893818
,2623,0,0.98942024
,2624,0,0.98963445
,2625,0,0.51340026
,2626,1,0.7793331
,2627,1,0.84071183
,2628,1,0.99575895
,2629,0,0.9514506
,2630,1,0.9886931
,2631,0,0.9521017
,2632,1,0.99021053
,2633,0,0.95370847
,2634,0,0.98680735
,2635,0,0.9893419
,2636,0,0.989341
,2637,0,0.9893296
,2638,0,0.98693925
,2639,0,0.8803625
,2640,0,0.8941999
,2641,0,0.98653483
,2642,0,0.98932415
,2643,0,0.9893776
,2644,0,0.98937815
,2645,0,0.9893781
,2646,0,0.9893781
,2647,0,0.9893781
,2648,0,0.98937815
,2649,0,0.98937875
,2650,0,0.98938704
,2651,0,0.98948896
,2652,0,0.990421
,2653,0,0.988339
,2654,0,0.9903585
,2655,0,0.9882218
,2656,0,0.98929906
,2657,0,0.9891496
,2658,0,0.98633754
,2659,0,0.96717966
,2660,1,0.7248017
,2661,1,0.8842122
,2662,0,0.97027457
,2663,1,0.99109477
,2664,1,0.9977966
,2665,0,0.94563323
,2666,0,0.95936173
,2667,1,0.9846001
,2668,0,0.9456468
,2669,0,0.9866218
,2670,0,0.9055801
,2671,0,0.9867541
,2672,0,0.98943585
,2673,0,0.99041206
,2674,0,0.9879728
,2675,0,0.9861612
,2676,0,0.9645614
,2677,0,0.9903961
,2678,0,0.98952645
,2679,0,0.98820806
,2680,0,0.9894262
,2681,0,0.99041367
,2682,0,0.9881777
,2683,0,0.9879525
,2684,0,0.94941896
,2685,0,0.96603465
,2686,0,0.9856593
,2687,0,0.9709663
,2688,0,0.98936003
,2689,0,0.98833686
,2690,0,0.98946446
,2691,0,0.9904462
,2692,0,0.9893265
,2693,0,0.9882508
,2694,0,0.989325
,2695,0,0.9894848
,2696,0,0.99040234
,2697,0,0.98730004
,2698,0,0.96263874
,2699,1,0.86546826
,2700,0,0.9743462
,2701,1,0.99064434
,2702,0,0.9751782
,2703,0,0.56957656
,2704,1,0.5182498
,2705,0,0.97909874
,2706,0,0.9891099
,2707,0,0.989022
,2708,1,0.6826611
,2709,0,0.97315645
,2710,1,0.7707522
,2711,0,0.92970353
,2712,0,0.98953366
,2713,0,0.98821735
